Manufacturer,Model,Sales_in_thousands,four_year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor
Acura,Integra,16.919,16.36,Passenger,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,2/2/2012,58.28014952
Acura,TL,39.384,19.875,Passenger,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,6/3/2011,91.37077766
Acura,CL,14.114,18.225,Passenger,,3.2,225,106.9,70.6,192,3.47,17.2,26,1/4/2012,
Acura,RL,8.588,29.725,Passenger,42,3.5,210,114.6,71.4,196.6,3.85,18,22,3/10/2011,91.38977933
Acura,Integra,16.19899698,16.46687091,Passenger,19.18349641,1.96940038,142.631562,102.8279292,68.88163621,181.9733583,2.689274503,12.40192006,26.97752398,6/27/2012,58.97483894
Acura,TL,40.70883574,17.93953946,Passenger,28.80680241,2.890590428,242.3147822,114.0802349,68.84752773,194.5654711,3.857686619,17.50583104,24.50407393,12/20/2010,89.46576053
Acura,RL,8.142644584,27.31732417,Passenger,42.51250183,3.689328068,224.9683783,107.0075308,79.30532914,193.0804188,3.63307973,18.69096964,22.91132675,4/30/2010,89.55202114
Acura,TL,39.75611547,20.47687991,Passenger,29.94953217,3.319096261,209.0300027,110.7640057,67.43172405,196.7480116,3.314407964,17.20656669,23.92553616,7/5/2010,81.80011903
Acura,Integra,16.30441895,15.8060457,Passenger,22.70399674,1.845478735,145.9626044,107.7519423,68.62464179,170.7650151,2.647701778,13.4887673,26.33087906,6/15/2011,59.34405618
Acura,TL,40.4027168,20.93919636,Passenger,26.08098984,3.066390588,236.4087965,117.0355057,69.95325629,198.3669355,3.156891992,16.14971547,24.89084317,8/21/2010,91.09332871
Acura,RL,8.594744529,27.27310472,Passenger,42.97151466,3.400215768,197.5746155,116.5729914,69.65297247,189.9559467,3.735792782,18.35251842,22.6921927,8/28/2010,96.33647951
Acura,TL,39.6780675,22.14829369,Passenger,27.92169224,3.083154068,230.2392761,108.7251047,67.62706262,198.2614194,3.729075252,16.22965783,25.69779549,10/21/2011,98.2489041
Acura,RL,8.423132541,28.1143848,Passenger,41.76821602,3.558091219,218.1305953,116.7189623,71.32663574,188.7435469,3.813022061,18.67029978,21.86424187,7/19/2010,94.82571895
Acura,RL,8.893031952,27.63934512,Passenger,41.92417726,3.556487697,189.2925877,105.898955,69.51198771,211.3369091,3.589487267,18.21713297,23.10097159,10/22/2011,100.7178482
Acura,RL,9.33133969,31.80795989,Passenger,42.09261139,3.503027595,200.6964298,110.035865,61.8752196,184.156423,3.862710912,18.0993882,21.16959522,6/27/2010,91.23828068
Acura,TL,38.13367827,19.99249916,Passenger,30.35836818,3.242269018,228.9658724,99.14008747,73.63067492,206.2294894,3.384715642,18.71783702,26.29045519,8/29/2011,96.4441118
Acura,TL,39.90989438,19.88066176,Passenger,28.13459402,3.261813616,225.7739112,109.7335153,70.8922388,188.0553129,3.365843624,15.66058013,26.50989893,3/1/2011,97.54610563
Acura,CL,13.4456006,18.93281658,Passenger,28.28246728,2.961759356,228.0425322,113.3459362,75.42260682,189.6958624,3.329391314,16.68702985,27.22969706,9/4/2011,79.72418269
Acura,RL,8.868299186,29.44948203,Passenger,39.87028096,3.351148696,197.8687492,116.7487925,76.85783264,202.0442599,4.304504198,17.47774837,23.38864848,1/14/2012,81.62147872
Acura,CL,13.1780161,18.08919034,Passenger,28.10796889,3.336273381,198.8877956,107.8963602,71.0025602,186.7139712,3.190767788,16.63723021,28.25171607,8/17/2011,75.56567001
Acura,Integra,17.01282163,16.34898807,Passenger,21.41182624,1.808524778,140.0385337,104.1211822,68.42838851,169.0492177,2.532954457,13.52515759,28.95487097,12/28/2012,54.28182635
Acura,CL,14.33433014,17.59739384,Passenger,27.83519673,2.978891934,217.0390392,99.96706383,72.53998019,187.0032309,3.517230367,18.92917878,25.66917989,12/21/2011,74.41392642
Acura,RL,8.593633391,27.76965965,Passenger,42.17537887,3.614024975,215.4840316,110.2898399,74.00040314,216.1270899,3.432698035,18.56870513,20.51444816,8/29/2011,92.34116004
Acura,CL,13.54149202,17.58816717,Passenger,25.29223425,3.233943575,216.8641808,96.7605178,68.15236186,193.4506423,3.354003197,16.65364683,25.73465145,3/22/2011,79.35862288
Acura,RL,8.675642606,26.70814067,Passenger,41.96291135,3.701536705,211.572263,118.7625579,74.77204064,207.8120698,3.738574009,17.54587889,21.05811563,2/26/2012,101.2003484
Acura,TL,41.07488546,20.55046985,Passenger,27.20408265,3.573079912,225.6169578,110.1405898,73.98383972,200.4106201,3.234712299,15.57480494,25.76171866,3/30/2012,93.57089524
Acura,Integra,17.47738825,14.33843229,Passenger,22.90748642,1.756141865,137.497991,100.0570348,64.52385751,168.35218,2.630562502,13.60017662,27.66645453,3/24/2012,57.2752054
Acura,TL,42.5974614,19.61692764,Passenger,28.65324757,3.078063694,235.5665925,115.0836521,67.68549962,204.0019392,3.61715391,17.66637705,25.15294666,7/8/2011,89.70903225
Acura,RL,9.00426335,29.12174517,Passenger,41.83004947,3.707674984,191.4381213,120.4112906,66.82212649,195.1209505,4.07993992,18.11761133,23.58002488,4/27/2011,97.45029612
Acura,TL,37.71395452,20.21287928,Passenger,29.89396506,3.154232597,215.2741747,104.9896355,69.11351186,196.8328914,3.3901171,16.42770434,25.24261221,11/5/2011,82.14815137
Acura,RL,8.224215516,30.33332444,Passenger,42.38774652,3.392617997,205.6509656,112.4250759,70.24179138,203.5590018,3.700700137,16.76328654,20.30251509,11/13/2011,96.92484266
Acura,TL,39.96158223,17.98558629,Passenger,28.87704523,3.250897507,223.38708,101.7483794,65.68414976,201.21592,3.517848217,16.96437399,23.91751717,2/26/2011,88.98282586
Acura,RL,8.638664322,29.31574595,Passenger,44.00775614,3.552949379,204.0000917,111.0064278,69.29734553,193.2072856,3.843373415,17.95489765,21.96825648,9/19/2011,91.05978491
Acura,Integra,15.83665039,16.79096725,Passenger,22.40011294,1.799882763,145.022507,100.5355099,64.12182111,188.070211,2.427034269,13.56879024,27.15693452,3/16/2011,62.18524894
Acura,CL,13.51254308,19.01144164,Passenger,27.65554711,3.211753327,210.6774032,97.98520478,72.64534875,196.9520676,3.850641639,16.91422007,27.87394421,9/13/2012,75.02013322
Acura,CL,15.42014661,19.02766239,Passenger,28.78883215,3.03922295,227.6101946,98.27772353,71.10434714,206.9476841,3.539401916,17.54259789,24.93796683,3/3/2011,76.7716088
Acura,TL,40.69327355,20.28721849,Passenger,29.5118589,3.365581897,221.7205932,113.3994239,66.56411247,179.2477847,3.468986453,16.08220191,26.95711,5/27/2011,84.04800458
Acura,Integra,17.36476382,17.02824156,Passenger,22.98231792,1.874821122,143.0281818,98.77830821,64.1390371,177.7236374,2.539863197,13.15490425,28.7779914,12/23/2011,54.16170003
Acura,RL,8.278139712,30.07053288,Passenger,41.1567359,3.80442096,219.2084356,115.0186742,69.8471712,189.4661243,4.065453609,17.86360813,22.52513735,12/28/2011,89.96376879
Acura,CL,15.11354549,18.19667593,Passenger,29.3899884,3.374286917,221.6795646,103.7541431,74.44825523,201.1290143,3.782759526,15.94413623,27.13168467,6/6/2012,77.72545029
Acura,CL,13.68405608,17.95229632,Passenger,25.72960557,3.071365221,241.7866838,119.95158,74.5716939,204.0771734,3.151015763,17.3254819,23.12612397,12/10/2011,85.19826607
